  8  5.225377    0.624520   -0.000530
 16 -4.161568    0.247084    0.000776
  8 -2.841869   -1.997013    0.000534
  6  1.166939   -0.429177   -0.000036
  6  1.549143    0.937423    0.000032
  6  2.200595   -1.402062   -0.000261
  6  2.889395    1.312330   -0.000121
  6  3.545264   -1.041719   -0.000419
  6  3.899159    0.323198   -0.000356
  6 -0.213329   -0.876292    0.000110
  6 -1.347293   -0.114931    0.000291
  6 -2.654859   -0.775341    0.000398
  1  0.785435    1.720240    0.000210
  1  1.929650   -2.462830   -0.000314
  1  3.165231    2.372113   -0.000062
  1  4.335555   -1.796651   -0.000596
  1 -0.363049   -1.964454    0.000059
  1 -1.305576    0.976066    0.000349
  1  5.333318    1.595939   -0.000496
  6 -3.646559    2.004418    0.000019
  1 -4.581666    2.583649    0.000380
  1 -3.075927    2.256543   -0.904810
  1 -3.074927    2.257026    0.904082

