 -0.009231  0.005540   0.000681    214.512385
  0.266109  0.270815   0.370115    547.981782
 -0.000391 -0.000113  -0.000005    649.658537
  0.000549  0.000456   0.000494   1008.888540
  0.826497  0.594478   0.300776   1029.000760
  1.144476  0.808904   1.048657   1258.294650
 -0.059282 -0.160832   0.306772   1387.379810
  0.620721  0.776382   0.437456   1559.207230
  1.562735  1.058399   1.064712   1740.987330
  0.373958  0.241573  -0.131404   2890.393200
  0.250966 -0.853036  -0.923715   3506.837120
  0.014799 -0.241646   0.422197   3647.774680
