     -0.027477      -0.033581      0.076638    142.352750
      0.139859       0.905869     -0.117268    569.744452
      0.000123      -0.000320      0.001105    649.405248
      0.001467      -0.000436      0.001825   1062.413140
      0.972884       0.814253     -0.133556   1073.802570
      1.075698       1.223879      0.284975   1299.176080
     -0.213705      -0.782952     -0.147432   1448.838480
      0.576679       0.759767      0.662439   1647.856890
      1.941905       1.160730      0.217285   1873.741320
      0.307099       0.205556      0.169650   3011.694810
      0.116215      -0.379179     -1.445410   3625.270850
      0.009864      -0.157530     -0.654172   3754.723860
