     gradient     frequency (cm-1)
      0.006168    271.627157
      0.725177    574.502902
     -0.000075    639.379266
     -0.000415   1059.490430
     -0.196329   1067.293420
     -0.171042   1283.024330
      0.343285   1427.144440
     -0.070473   1626.185870
      0.562221   1818.510230
      0.099682   2981.402190
     -0.147448   3607.008200
     -0.046775   3743.339860
