 -0.005052 -0.038030  0.000373  0.011989  0.002722  0.001781    271.627157
  0.337304  0.771378  0.158122  0.888107  0.626288  1.236772    574.502902
 -0.000442 -0.000174 -0.000113  0.000074 -0.000280 -0.000025    639.379266
  0.001654 -0.004070 -0.001311 -0.000803 -0.000496  0.001030   1059.490430
  0.885166 -0.015010 -0.549569 -0.535817 -0.220692  0.503988   1067.293420
  0.928080  0.515171 -0.458134  0.565406 -0.129309  0.798889   1283.024330
 -0.166428 -0.146491  0.826825 -0.147090  0.215976 -0.264814   1427.144440
  0.481794  0.029097 -0.159021  0.099148  0.146576  0.308142   1626.185870
  1.852195  0.251811  0.967492  0.355446  0.889479  0.972970   1818.510230
  0.272825  0.208344 -0.187364 -0.088029  0.070412  0.159358   2981.402190
  0.100417 -0.466533 -0.237099 -0.434898 -0.093107 -0.091020   3607.008200
  0.008171 -0.204614  0.107627  0.062758 -0.061793 -0.018017   3743.339860
