     gradient     frequency (cm-1)
      0.005615    271.627157
      0.724599    574.502902
      0.000237    639.379266
     -0.000403   1059.490430
     -0.229028   1067.293420
     -0.204936   1283.024330
      0.359146   1427.144440
     -0.050014   1626.185870
      0.594280   1818.510230
      0.096650   2981.402190
     -0.142699   3607.008200
     -0.037512   3743.339860
