     -0.090223     0.018433     0.171371     74.794341
      0.223063     0.087260    -0.006752    564.309834
     -0.000918    -0.000343     0.000088    651.812658
      0.001943     0.000242    -0.000562   1045.221250
      0.898601     0.250565    -0.332269   1060.558710
      0.902943     0.154054    -0.095689   1281.699150
     -0.072722    -0.018847    -0.018508   1437.133660
      0.520077     0.483474     0.534407   1639.150360
      1.918600     1.219538     0.445383   1838.864410
      0.433436     0.302809     0.282571   2965.216630
      0.233498    -0.736241    -1.421301   3586.543030
      0.025048    -0.316238    -0.705703   3717.994000
