      0.002248  0.001752     	    271.627157    
     -0.593047  -0.546553	    574.502902    
      0.001314   -0.004545	    639.379266    
     -0.001328   0.003070	   1059.490430   
     -0.506886   -0.033006	   1067.293420   
     -0.863944   -0.001692	   1283.024330   
      0.251131   -0.161674	   1427.144440   
     -0.400952   -0.042620	   1626.185870   
     -1.619697   -0.948806	   1818.510230   
     -0.213517   -0.101318	   2981.402190   
     -0.071313   0.071805	   3607.008200   
     -0.005968   0.021749	   3743.339860 
