     gradient     frequency (cm-1)
     -0.005052    271.627157
      0.337304    574.502902
     -0.000442    639.379266
      0.001654   1059.490430
      0.885166   1067.293420
      0.928080   1283.024330
     -0.166428   1427.144440
      0.481794   1626.185870
      1.852195   1818.510230
      0.272825   2981.402190
      0.100417   3607.008200
      0.008171   3743.339860
